"gloss","language","lex","lexCons","root","sp","voc_lex","voc_lex_utf8"
"terrace, ledge","Hebrew","RBD/","RBD","RBD",,,"רֹבֶד"
"overlaid","Hebrew","YP/","YP","YPH",,,"צָף"
"beam-work, rafter","Hebrew","MQRH===/","MQRH","QRH",,,"מִקְרָה"
,"Hebrew","=",,,,,
"waving","Hebrew","HNP/","HNP","NWP",,,"הֶנֶף"
"waving","Hebrew","HNJPH/","HNJPH","NWP",,,"הֲנִיפָה"
"middle","Hebrew",">MY</",">MY<",">MY<",,,"אֶמְצַע"
"have doors","Hebrew","DLT[","DLT","DLT",,,"דלת"
"bowl","Hebrew","KWNNH/","KWNNH","KWNNH",,,"כּוֹנְנָה"
"chain","Hebrew","CLCLT/","CLCLT","CLCLT",,,"שַׁלְשֶׁלֶת"
"rafter/doorway","Hebrew",">DCK/",">DCK",">DCK",,,"אַדְשָׁךְ"
"mixing","Hebrew","T<RBT/","T<RBT","<RB",,,"תַּעֲרֹבֶת"
"defilement, stain","Hebrew","TG>LT/","TG>LT","G>L",,,"תִּגְאֹלֶת"
"liquid,moisture","Hebrew","LXH/","LXH","LX",,,"לֵחָה"
"stade","Hebrew","RS/","RS","RS",,,"רִס"
"charge, complaint","Hebrew","<LH==/","<LH","<LL",,,"עִלָּה"
